Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD,FPts,FPts/G,Week
C.J. Prosise,HOU,1,1,2,0,1,1,10,0,1.2,1.2,14
Frank Gore,NYJ,1,8,23,0,1,1,8,0,1.1,1.1,14
Jeremy McNichols,TEN,1,11,9,0,1,1,0,0,0.9,0.9,14
DeeJay Dallas,SEA,1,4,7,0,0,0,0,0,0.7,0.7,14
Alfred Morris,NYG,1,3,7,0,0,0,0,0,0.7,0.7,14
Latavius Murray,NO,1,4,13,0,1,1,-6,0,0.7,0.7,14
Jordan Wilkins,IND,1,1,3,0,2,1,4,0,0.7,0.7,14
Darrell Henderson,LAR,1,2,5,0,0,0,0,0,0.5,0.5,14
Justice Hill,BAL,1,1,4,0,0,0,0,0,0.4,0.4,14
Giovani Bernard,CIN,1,3,8,0,3,3,15,0,0.3,0.3,14
Gabe Nabers,LAC,1,1,3,0,0,0,0,0,0.3,0.3,14
Keith Smith,ATL,1,1,3,0,2,1,-2,0,0.1,0.1,14
Alex Armah,CAR,1,0,0,0,1,1,0,0,0.0,0.0,14
Malcolm Brown,LAR,1,0,0,0,1,0,0,0,0.0,0.0,14
Alec Ingold,LV,1,0,0,0,1,1,0,0,0.0,0.0,14
Andy Janovich,CLE,1,0,0,0,1,0,0,0,0.0,0.0,14
Anthony Sherman,KC,1,0,0,0,1,0,0,0,0.0,0.0,14
Trenton Cannon,CAR,1,1,-2,0,0,0,0,0,-0.2,-0.2,14
Ke'Shawn Vaughn,TB,1,1,-3,0,0,0,0,0,-0.3,-0.3,14
David Montgomery,CHI,1,32,146,2,2,1,16,0,28.2,28.2,15
Tony Pollard,DAL,1,12,69,2,9,6,63,0,25.2,25.2,15
Dalvin Cook,MIN,1,24,132,1,5,5,27,0,21.9,21.9,15
Aaron Jones,GB,1,20,145,1,4,3,13,0,21.8,21.8,15
Giovani Bernard,CIN,1,25,83,1,1,1,14,1,21.7,21.7,15
Derrick Henry,TEN,1,24,147,1,2,2,5,0,21.2,21.2,15
Melvin Gordon,DEN,1,11,61,2,4,4,20,0,20.1,20.1,15
Salvon Ahmed,MIA,1,23,122,1,3,1,5,0,18.7,18.7,15
Leonard Fournette,TB,1,14,49,2,5,3,16,0,18.5,18.5,15
D'Andre Swift,DET,1,15,67,2,5,4,15,0,18.2,18.2,15
Josh Jacobs,LV,1,26,76,1,3,3,38,0,17.4,17.4,15
J.D. McKissic,WAS,1,13,51,0,10,9,56,1,16.7,16.7,15
Benny Snell,PIT,1,18,84,1,4,3,23,0,16.7,16.7,15
Jonathan Taylor,IND,1,16,83,1,5,4,12,0,15.5,15.5,15
Alvin Kamara,NO,1,11,54,0,6,3,40,1,15.4,15.4,15
Devin Singletary,BUF,1,8,68,1,3,3,16,0,14.4,14.4,15
J.K. Dobbins,BAL,1,14,64,1,1,1,17,0,14.1,14.1,15
Le'Veon Bell,KC,1,15,62,1,1,1,14,0,13.6,13.6,15
David Johnson,HOU,1,8,27,0,11,11,106,0,13.3,13.3,15
Nick Chubb,CLE,1,15,50,1,2,2,16,0,12.6,12.6,15
Chase Edmonds,ARI,1,11,47,0,5,3,19,1,12.6,12.6,15
Frank Gore,NYJ,1,23,59,1,1,1,6,0,12.5,12.5,15
Carlos Hyde,SEA,1,2,55,1,3,2,8,0,12.3,12.3,15
Jeff Wilson,SF,1,16,60,1,4,0,0,0,12.0,12.0,15
Darrynton Evans,TEN,1,8,30,0,2,2,27,1,11.7,11.7,15
Ty Johnson,NYJ,1,3,16,0,6,6,39,1,11.5,11.5,15
James Robinson,JAC,1,16,35,0,3,3,18,1,11.3,11.3,15
Miles Sanders,PHI,1,17,64,0,2,1,26,0,9.0,9.0,15
Latavius Murray,NO,1,4,3,0,3,2,26,1,8.9,8.9,15
Matt Breida,MIA,1,12,86,0,0,0,0,0,8.6,8.6,15
Clyde Edwards-Helaire,KC,1,14,79,0,3,1,4,0,8.3,8.3,15
Sony Michel,NE,1,10,74,0,1,1,8,0,8.2,8.2,15
Zack Moss,BUF,1,13,81,0,0,0,0,0,8.1,8.1,15
Austin Ekeler,LAC,1,13,60,0,4,4,19,0,7.9,7.9,15
Gus Edwards,BAL,1,9,42,0,2,2,36,0,7.8,7.8,15
Kalen Ballage,LAC,1,8,11,1,0,0,0,0,7.1,7.1,15
Chris Carson,SEA,1,15,63,0,3,2,6,0,6.9,6.9,15
Raheem Mostert,SF,1,14,68,0,0,0,0,0,6.8,6.8,15
Peyton Barber,WAS,1,4,5,1,1,0,0,0,6.5,6.5,15
Cam Akers,LAR,1,15,63,0,3,1,-1,0,6.2,6.2,15
Mike Davis,CAR,1,14,59,0,2,2,2,0,6.1,6.1,15
James White,NE,1,2,3,0,4,4,52,0,5.5,5.5,15
Nyheim Hines,IND,1,5,43,0,3,2,11,0,5.4,5.4,15
Rodney Smith,CAR,1,4,23,0,4,3,24,0,4.7,4.7,15
Phillip Lindsay,DEN,1,11,38,0,3,3,7,0,4.5,4.5,15
Kenyan Drake,ARI,1,10,26,0,2,2,14,0,4.0,4.0,15
Alfred Morris,NYG,1,7,39,0,0,0,0,0,3.9,3.9,15
Ito Smith,ATL,1,6,24,0,3,2,9,0,3.3,3.3,15
Patrick Laird,MIA,1,2,20,0,2,2,12,0,3.2,3.2,15
LeSean McCoy,TB,1,0,0,0,3,3,32,0,3.2,3.2,15
Keith Smith,ATL,1,0,0,0,3,3,32,0,3.2,3.2,15
Wayne Gallman,NYG,1,9,29,0,0,0,0,0,2.9,2.9,15
Kyle Juszczyk,SF,1,2,4,0,2,1,25,0,2.9,2.9,15
Kareem Hunt,CLE,1,7,21,0,3,3,7,0,2.8,2.8,15
Dare Ogunbowale,JAC,1,2,17,0,1,1,8,0,2.5,2.5,15
D'Ernest Johnson,CLE,1,4,24,0,0,0,0,0,2.4,2.4,15
Adrian Peterson,DET,1,6,23,0,0,0,0,0,2.3,2.3,15
Buddy Howell,HOU,1,5,22,0,0,0,0,0,2.2,2.2,15
Jerick McKinnon,SF,1,0,0,0,2,2,22,0,2.2,2.2,15
Jamaal Williams,GB,1,1,6,0,2,2,14,0,2.0,2.0,15
AJ Dillon,GB,1,1,18,0,0,0,0,0,1.8,1.8,15
Dion Lewis,NYG,1,1,4,0,2,2,14,0,1.8,1.8,15
Scottie Phillips,HOU,1,2,9,0,1,1,7,0,1.6,1.6,15
Jaylen Samuels,PIT,1,1,4,0,1,1,12,0,1.6,1.6,15
Alexander Mattison,MIN,1,1,1,0,1,1,14,0,1.5,1.5,15
Todd Gurley,ATL,1,1,-1,0,2,2,15,0,1.4,1.4,15
Anthony McFarland Jr,PIT,1,1,5,0,1,1,9,0,1.4,1.4,15
Samaje Perine,CIN,1,4,14,0,0,0,0,0,1.4,1.4,15
Devontae Booker,LV,1,3,12,0,0,0,0,0,1.2,1.2,15
Tevin Coleman,SF,1,3,11,0,0,0,0,0,1.1,1.1,15
Rico Dowdle,DAL,1,4,11,0,0,0,0,0,1.1,1.1,15
Elijhaa Penny,NYG,1,1,2,0,1,1,9,0,1.1,1.1,15
Malcolm Brown,LAR,1,1,4,0,1,1,6,0,1.0,1.0,15
Patrick Ricard,BAL,1,0,0,0,3,2,10,0,1.0,1.0,15
Alex Armah,CAR,1,0,0,0,1,1,9,0,0.9,0.9,15
Michael Burton,NO,1,0,0,0,1,1,9,0,0.9,0.9,15
Justice Hill,BAL,1,0,0,0,1,1,8,0,0.8,0.8,15
Joshua Kelley,LAC,1,2,8,0,0,0,0,0,0.8,0.8,15
Trayveon Williams,CIN,1,2,8,0,0,0,0,0,0.8,0.8,15
Brian Hill,ATL,1,5,-2,0,2,2,9,0,0.7,0.7,15
Jalen Richard,LV,1,0,0,0,1,1,7,0,0.7,0.7,15
Boston Scott,PHI,1,0,0,0,1,1,7,0,0.7,0.7,15
Rashaad Penny,SEA,1,2,6,0,0,0,0,0,0.6,0.6,15
Jeremy McNichols,TEN,1,0,0,0,1,1,5,0,0.5,0.5,15
Darrel Williams,KC,1,3,5,0,0,0,0,0,0.5,0.5,15
Royce Freeman,DEN,1,1,4,0,0,0,0,0,0.4,0.4,15
Devine Ozigbo,JAC,1,0,0,0,1,1,4,0,0.4,0.4,15
Ke'Shawn Vaughn,TB,1,2,4,0,1,0,0,0,0.4,0.4,15
Darrell Henderson,LAR,1,1,-2,0,1,1,5,0,0.3,0.3,15
Alec Ingold,LV,1,1,2,0,1,0,0,0,0.2,0.2,15
J.J. Taylor,NE,1,1,2,0,0,0,0,0,0.2,0.2,15
Jakob Johnson,NE,1,0,0,0,1,0,0,0,0.0,0.0,15
Gabe Nabers,LAC,1,0,0,0,1,0,0,0,0.0,0.0,15
Theo Riddick,LV,1,1,-5,0,0,0,0,0,-0.5,-0.5,15
Alvin Kamara,NO,1,22,155,6,5,3,17,0,53.2,53.2,16
Myles Gaskin,MIA,1,14,87,0,5,5,82,2,28.9,28.9,16
Jeff Wilson,SF,1,22,183,0,2,1,21,1,26.4,26.4,16
David Johnson,HOU,1,12,128,1,3,3,11,1,25.9,25.9,16
Samaje Perine,CIN,1,13,95,2,4,4,41,0,25.6,25.6,16
AJ Dillon,GB,1,21,124,2,1,1,5,0,24.9,24.9,16
Jonathan Taylor,IND,1,18,74,2,1,0,0,0,19.4,19.4,16
David Montgomery,CHI,1,23,95,1,2,2,26,0,18.1,18.1,16
J.D. McKissic,WAS,1,4,15,0,10,8,77,1,15.2,15.2,16
Dalvin Cook,MIN,1,15,73,1,2,2,12,0,14.5,14.5,16
Miles Sanders,PHI,1,15,57,1,6,4,27,0,14.4,14.4,16
Ezekiel Elliott,DAL,1,19,105,0,4,4,34,0,13.9,13.9,16
J.K. Dobbins,BAL,1,11,77,1,1,0,0,0,13.7,13.7,16
Kyle Juszczyk,SF,1,1,3,0,3,2,10,2,13.3,13.3,16
Giovani Bernard,CIN,1,16,65,0,8,7,66,0,13.1,13.1,16
Austin Ekeler,LAC,1,10,45,0,3,3,23,1,12.8,12.8,16
Nick Chubb,CLE,1,11,28,1,5,5,38,0,12.6,12.6,16
Leonard Fournette,TB,1,9,34,1,3,3,32,0,12.6,12.6,16
James Conner,PIT,1,5,20,1,5,5,45,0,12.5,12.5,16
Gus Edwards,BAL,1,15,85,0,2,2,37,0,12.2,12.2,16
Zack Moss,BUF,1,12,57,1,1,1,0,0,11.7,11.7,16
Kareem Hunt,CLE,1,4,11,1,5,3,41,0,11.2,11.2,16
Kenyan Drake,ARI,1,18,45,1,2,2,5,0,11.0,11.0,16
Aaron Jones,GB,1,10,94,0,3,2,14,0,10.8,10.8,16
Derrick Henry,TEN,1,23,98,0,0,0,0,0,9.8,9.8,16
Latavius Murray,NO,1,12,72,0,3,3,24,0,9.6,9.6,16
Mike Davis,CAR,1,14,28,1,0,0,0,0,8.8,8.8,16
Artavis Pierce,CHI,1,2,26,1,0,0,0,0,8.6,8.6,16
Chris Carson,SEA,1,16,69,0,3,3,10,0,7.9,7.9,16
Melvin Gordon,DEN,1,16,79,0,0,0,0,0,7.9,7.9,16
Dare Ogunbowale,JAC,1,14,71,0,5,3,7,0,7.8,7.8,16
Darrel Williams,KC,1,10,46,0,6,4,27,0,7.3,7.3,16
Antonio Gibson,WAS,1,10,61,0,4,3,8,0,6.9,6.9,16
Josh Jacobs,LV,1,13,69,0,2,0,0,0,6.9,6.9,16
Sony Michel,NE,1,10,69,0,0,0,0,0,6.9,6.9,16
Ke'Shawn Vaughn,TB,1,15,62,0,2,1,7,0,6.9,6.9,16
Mike Boone,MIN,1,1,4,1,0,0,0,0,6.4,6.4,16
Nyheim Hines,IND,1,8,44,0,5,5,20,0,6.4,6.4,16
Darrell Henderson,LAR,1,12,62,0,0,0,0,0,6.2,6.2,16
Brian Hill,ATL,1,7,36,0,3,3,25,0,6.1,6.1,16
Wayne Gallman,NYG,1,6,27,0,2,2,26,0,5.3,5.3,16
Frank Gore,NYJ,1,14,48,0,1,1,5,0,5.3,5.3,16
Devin Singletary,BUF,1,10,36,0,2,2,16,0,5.2,5.2,16
Ito Smith,ATL,1,10,46,0,1,1,5,0,5.1,5.1,16
Todd Gurley,ATL,1,4,16,0,3,3,34,0,5.0,5.0,16
D'Andre Swift,DET,1,10,45,0,5,4,25,0,5.0,5.0,16
La'Mical Perine,NYJ,1,9,30,0,2,1,14,0,4.4,4.4,16
Le'Veon Bell,KC,1,7,30,0,3,1,9,0,3.9,3.9,16
Rodney Smith,CAR,1,7,23,0,2,2,15,0,3.8,3.8,16
J.J. Taylor,NE,1,6,38,0,0,0,0,0,3.8,3.8,16
James White,NE,1,4,14,0,3,3,23,0,3.7,3.7,16
Malcolm Brown,LAR,1,7,27,0,3,1,8,0,3.5,3.5,16
Jerick McKinnon,SF,1,1,4,0,4,3,28,0,3.2,3.2,16
Kalen Ballage,LAC,1,4,14,0,3,2,12,0,2.6,2.6,16
Carlos Hyde,SEA,1,2,8,0,1,1,18,0,2.6,2.6,16
Royce Freeman,DEN,1,2,16,0,2,2,7,0,2.3,2.3,16
Jalen Richard,LV,1,2,19,0,1,1,4,0,2.3,2.3,16
Tony Pollard,DAL,1,9,12,0,2,1,8,0,2.0,2.0,16
Devontae Booker,LV,1,6,11,0,2,2,8,0,1.9,1.9,16
Kerryon Johnson,DET,1,0,0,0,2,2,17,0,1.7,1.7,16
Boston Scott,PHI,1,2,17,0,0,0,0,0,1.7,1.7,16
LeVante Bellamy,DEN,1,3,11,0,1,1,5,0,1.6,1.6,16
Dion Lewis,NYG,1,1,15,0,0,0,0,0,1.5,1.5,16
Michael Burton,NO,1,2,10,0,1,1,4,0,1.4,1.4,16
Keith Smith,ATL,1,0,0,0,2,2,14,0,1.4,1.4,16
Ameer Abdullah,MIN,1,1,13,0,1,0,0,0,1.3,1.3,16
Ty Johnson,NYJ,1,2,13,0,0,0,0,0,1.3,1.3,16
Alfred Morris,NYG,1,3,4,0,1,1,9,0,1.3,1.3,16
Peyton Barber,WAS,1,1,10,0,0,0,0,0,1.0,1.0,16
Adrian Peterson,DET,1,4,10,0,0,0,0,0,1.0,1.0,16
Rashaad Penny,SEA,1,3,9,0,0,0,0,0,0.9,0.9,16
Chase Edmonds,ARI,1,0,0,0,3,2,8,0,0.8,0.8,16
Jordan Howard,PHI,1,3,8,0,0,0,0,0,0.8,0.8,16
Craig Reynolds,JAC,1,1,4,0,1,1,3,0,0.7,0.7,16
Jeremy McNichols,TEN,1,0,0,0,1,1,6,0,0.6,0.6,16
Trayveon Williams,CIN,1,2,6,0,0,0,0,0,0.6,0.6,16
LeSean McCoy,TB,1,0,0,0,1,1,5,0,0.5,0.5,16
Justin Jackson,LAC,1,2,4,0,0,0,0,0,0.4,0.4,16
Devine Ozigbo,JAC,1,1,1,0,1,1,3,0,0.4,0.4,16
Salvon Ahmed,MIA,1,6,2,0,1,1,1,0,0.3,0.3,16
Alex Armah,CAR,1,1,3,0,0,0,0,0,0.3,0.3,16
Tevin Coleman,SF,1,2,3,0,1,1,0,0,0.3,0.3,16
Darrynton Evans,TEN,1,1,3,0,2,0,0,0,0.3,0.3,16
D.J. Foster,ARI,1,1,0,0,0,0,0,0,0.0,0.0,16
Andy Janovich,CLE,1,0,0,0,1,0,0,0,0.0,0.0,16
Taiwan Jones,BUF,1,0,0,0,1,0,0,0,0.0,0.0,16
Ty Montgomery,NO,1,0,0,0,1,0,0,0,0.0,0.0,16
Ryan Nall,CHI,1,2,0,0,0,0,0,0,0.0,0.0,16
Benny Snell,PIT,1,6,0,0,0,0,0,0,0.0,0.0,16
Jonathan Taylor,IND,1,30,253,2,2,1,1,0,37.4,37.4,17
Derrick Henry,TEN,1,34,250,2,0,0,0,0,35.0,35.0,17
J.K. Dobbins,BAL,1,13,160,2,0,0,0,0,28.0,28.0,17
Alexander Mattison,MIN,1,21,95,1,3,3,50,1,26.5,26.5,17
Darwin Thompson,KC,1,14,45,1,7,7,65,1,23.0,23.0,17
Josh Jacobs,LV,1,15,89,2,1,0,0,0,20.9,20.9,17
Jeff Wilson,SF,1,20,76,1,7,3,12,1,20.8,20.8,17
Antonio Williams,BUF,1,12,63,2,1,1,20,0,20.3,20.3,17
Sony Michel,NE,1,16,76,0,3,3,60,1,19.6,19.6,17
David Montgomery,CHI,1,22,69,1,9,9,63,0,19.2,19.2,17
David Johnson,HOU,1,14,84,1,5,3,36,0,18.0,18.0,17
Melvin Gordon,DEN,1,26,93,1,6,4,17,0,17.0,17.0,17
Nick Chubb,CLE,1,14,108,1,1,0,0,0,16.8,16.8,17
Aaron Jones,GB,1,11,42,1,5,4,43,0,14.5,14.5,17
Ronald Jones,TB,1,12,78,1,0,0,0,0,13.8,13.8,17
Myles Gaskin,MIA,1,7,20,1,5,4,57,0,13.7,13.7,17
Brian Hill,ATL,1,9,94,0,3,3,42,0,13.6,13.6,17
D'Andre Swift,DET,1,12,54,1,3,3,16,0,13.0,13.0,17
Adrian Peterson,DET,1,7,63,1,0,0,0,0,12.3,12.3,17
Ezekiel Elliott,DAL,1,14,42,1,4,3,19,0,12.1,12.1,17
Josh Adams,NYJ,1,11,47,1,4,2,12,0,11.9,11.9,17
Austin Ekeler,LAC,1,7,18,0,7,6,33,1,11.1,11.1,17
Salvon Ahmed,MIA,1,6,29,1,3,3,19,0,10.8,10.8,17
Ty Montgomery,NO,1,18,105,0,2,1,2,0,10.7,10.7,17
Justin Jackson,LAC,1,9,72,0,2,1,32,0,10.4,10.4,17
Rodney Smith,CAR,1,10,40,1,1,1,4,0,10.4,10.4,17
Kalen Ballage,LAC,1,13,36,1,0,0,0,0,9.6,9.6,17
James White,NE,1,0,0,0,7,4,31,1,9.1,9.1,17
Alex Collins,SEA,1,5,29,1,0,0,0,0,8.9,8.9,17
Chris Carson,SEA,1,11,44,0,2,2,39,0,8.3,8.3,17
Antonio Gibson,WAS,1,19,75,0,1,1,6,0,8.1,8.1,17
Boston Scott,PHI,1,15,65,0,5,2,14,0,7.9,7.9,17
Trayveon Williams,CIN,1,4,74,0,1,1,3,0,7.7,7.7,17
Dare Ogunbowale,JAC,1,14,50,0,7,4,22,0,7.2,7.2,17
Jonathan Ward,ARI,1,0,0,0,1,1,11,1,7.1,7.1,17
Gus Edwards,BAL,1,12,60,0,1,1,10,0,7.0,7.0,17
Ty Johnson,NYJ,1,11,45,0,2,2,23,0,6.8,6.8,17
Ameer Abdullah,MIN,1,0,0,0,3,3,7,1,6.7,6.7,17
Nyheim Hines,IND,1,2,17,0,7,6,50,0,6.7,6.7,17
Cam Akers,LAR,1,21,34,0,4,4,52,0,6.6,6.6,17
Wayne Gallman,NYG,1,11,65,0,0,0,0,0,6.5,6.5,17
James Conner,PIT,1,9,37,0,8,5,25,0,6.2,6.2,17
Kenyan Drake,ARI,1,10,36,0,3,3,15,0,5.1,5.1,17
Samaje Perine,CIN,1,9,51,0,0,0,0,0,5.1,5.1,17
C.J. Ham,MIN,1,0,0,0,3,2,44,0,4.4,4.4,17
Kareem Hunt,CLE,1,10,37,0,1,1,4,0,4.1,4.1,17
Theo Riddick,LV,1,0,0,0,5,4,40,0,4.0,4.0,17
Mark Ingram,BAL,1,9,39,0,0,0,0,0,3.9,3.9,17
Todd Gurley,ATL,1,9,18,0,1,1,17,0,3.5,3.5,17
Tony Pollard,DAL,1,5,15,0,5,3,18,0,3.3,3.3,17
J.D. McKissic,WAS,1,2,0,0,8,5,30,0,3.0,3.0,17
Mike Boone,MIN,1,5,29,0,0,0,0,0,2.9,2.9,17
Leonard Fournette,TB,1,5,13,0,2,2,14,0,2.7,2.7,17
Jamaal Williams,GB,1,5,26,0,0,0,0,0,2.6,2.6,17
Chase Edmonds,ARI,1,3,-3,0,2,2,28,0,2.5,2.5,17
Royce Freeman,DEN,1,2,21,0,1,1,1,0,2.2,2.2,17
Justice Hill,BAL,1,2,21,0,0,0,0,0,2.1,2.1,17
Zack Moss,BUF,1,3,8,0,1,1,13,0,2.1,2.1,17
Rashaad Penny,SEA,1,6,19,0,0,0,0,0,1.9,1.9,17
Malcolm Brown,LAR,1,3,20,0,1,1,-2,0,1.8,1.8,17
Anthony McFarland Jr,PIT,1,5,17,0,1,0,0,0,1.7,1.7,17
Devontae Booker,LV,1,5,16,0,0,0,0,0,1.6,1.6,17
Ito Smith,ATL,1,3,9,0,4,1,7,0,1.6,1.6,17
Tony Jones,NO,1,3,13,0,0,0,0,0,1.3,1.3,17
Devin Singletary,BUF,1,3,7,0,1,1,6,0,1.3,1.3,17
Alfred Morris,NYG,1,5,12,0,1,0,0,0,1.2,1.2,17
Peyton Barber,WAS,1,4,10,0,0,0,0,0,1.0,1.0,17
Benny Snell,PIT,1,3,10,0,0,0,0,0,1.0,1.0,17
Corey Clement,PHI,1,1,1,0,1,1,7,0,0.8,0.8,17
Giovani Bernard,CIN,1,3,7,0,1,0,0,0,0.7,0.7,17
Dion Lewis,NYG,1,1,7,0,1,0,0,0,0.7,0.7,17
Jerick McKinnon,SF,1,0,0,0,1,1,6,0,0.6,0.6,17
Anthony Sherman,KC,1,1,6,0,0,0,0,0,0.6,0.6,17
Jason Huntley,PHI,1,2,5,0,1,1,0,0,0.5,0.5,17
Gabe Nabers,LAC,1,0,0,0,1,1,5,0,0.5,0.5,17
Kyle Juszczyk,SF,1,1,0,0,2,1,4,0,0.4,0.4,17
AJ Dillon,GB,1,1,3,0,0,0,0,0,0.3,0.3,17
Darrel Williams,KC,1,0,0,0,1,1,2,0,0.2,0.2,17
Alex Armah,CAR,1,0,0,0,1,0,0,0,0.0,0.0,17
LeVante Bellamy,DEN,1,1,0,0,0,0,0,0,0.0,0.0,17
Kerryon Johnson,DET,1,0,0,0,1,0,0,0,0.0,0.0,17
Artavis Pierce,CHI,1,1,-1,0,0,0,0,0,-0.1,-0.1,17
