Player,Team,G,Target,Rec,Yard,TD,FPts,FPts/G,Week
Jace Sternberger,GB,1,1,1,5,0,0.5,0.5,12
Jordan Akins,HOU,1,2,0,0,0,0.4,0.4,12
Ian Thomas,CAR,1,2,1,4,0,0.4,0.4,12
Ross Dwelley,SF,1,2,1,3,0,0.3,0.3,12
Lee Smith,BUF,1,1,1,3,0,0.3,0.3,12
Deon Yelder,KC,1,1,1,2,0,0.2,0.2,12
Jared Cook,NO,1,2,0,0,0,0.0,0.0,12
Jack Doyle,IND,1,1,0,0,0,0.0,0.0,12
Ben Ellefson,JAC,1,1,0,0,0,0.0,0.0,12
Anthony Firkser,TEN,1,1,0,0,0,0.0,0.0,12
Troy Fumagalli,DEN,1,1,0,0,0,0.0,0.0,12
Chris Herndon,NYJ,1,0,0,0,0,0.0,0.0,12
Ryan Izzo,NE,1,0,0,0,0,0.0,0.0,12
Donald Parham,LAC,1,1,0,0,0,0.0,0.0,12
Nick Vannett,DEN,1,1,0,0,0,0.0,0.0,12
Kahale Warring,HOU,1,1,0,0,0,0.0,0.0,12
Luke Willson,BAL,1,2,0,0,0,0.0,0.0,12
Harrison Bryant,CLE,1,2,1,13,0,-0.7,-0.7,12
Darren Waller,LV,1,17,13,200,2,32.0,32.0,13
Travis Kelce,KC,1,13,8,136,1,19.6,19.6,13
Dan Arnold,ARI,1,3,2,61,2,18.1,18.1,13
Logan Thomas,WAS,1,9,9,98,1,15.8,15.8,13
Mike Gesicki,MIA,1,11,9,88,1,14.8,14.8,13
Robert Tonyan,GB,1,5,4,39,1,9.9,9.9,13
Cole Kmet,CHI,1,7,5,37,1,9.7,9.7,13
Jordan Reed,SF,1,4,3,32,1,9.2,9.2,13
Jared Cook,NO,1,5,3,28,1,8.8,8.8,13
Dawson Knox,BUF,1,4,4,27,1,8.7,8.7,13
Tyler Higbee,LAR,1,6,4,24,1,8.4,8.4,13
T.J. Hockenson,DET,1,9,7,84,0,8.4,8.4,13
MyCole Pruitt,TEN,1,2,1,22,1,8.2,8.2,13
Jesse James,DET,1,3,1,9,1,6.9,6.9,13
Eric Ebron,PIT,1,11,7,68,0,6.8,6.8,13
Dallas Goedert,PHI,1,7,5,66,0,6.6,6.6,13
Noah Fant,DEN,1,7,4,57,0,5.7,5.7,13
Anthony Firkser,TEN,1,7,5,51,0,5.1,5.1,13
Drew Sample,CIN,1,7,7,49,0,4.9,4.9,13
Tyler Eifert,JAC,1,6,6,45,0,4.5,4.5,13
Gerald Everett,LAR,1,7,6,44,0,4.4,4.4,13
Dalton Schultz,DAL,1,4,4,44,0,4.4,4.4,13
James O'Shaughnessy,JAC,1,6,4,41,0,4.1,4.1,13
Marcedes Lewis,GB,1,1,1,36,0,3.6,3.6,13
Charlie Woerner,SF,1,2,2,33,0,3.3,3.3,13
Evan Engram,NYG,1,8,4,32,0,3.2,3.2,13
Zach Ertz,PHI,1,4,2,31,0,3.1,3.1,13
Ryan Griffin,NYJ,1,2,2,31,0,3.1,3.1,13
Ross Dwelley,SF,1,2,2,29,0,2.9,2.9,13
Will Dissly,SEA,1,5,4,28,0,2.8,2.8,13
Austin Hooper,CLE,1,2,2,24,0,2.4,2.4,13
Mo Alie-Cox,IND,1,5,3,23,0,2.3,2.3,13
Donald Parham,LAC,1,4,2,21,0,2.1,2.1,13
Jacob Hollister,SEA,1,4,3,20,0,2.0,2.0,13
Durham Smythe,MIA,1,2,2,16,0,1.6,1.6,13
Nick Keizer,KC,1,1,1,15,0,1.5,1.5,13
Jack Doyle,IND,1,1,1,12,0,1.2,1.2,13
Luke Willson,BAL,1,1,1,12,0,1.2,1.2,13
Trey Burton,IND,1,3,1,11,0,1.1,1.1,13
Jordan Akins,HOU,1,3,2,10,0,1.0,1.0,13
Tyler Conklin,MIN,1,1,1,10,0,1.0,1.0,13
Hayden Hurst,ATL,1,4,1,9,0,0.9,0.9,13
Adam Trautman,NO,1,3,3,9,0,0.9,0.9,13
Nick Vannett,DEN,1,2,2,7,0,0.7,0.7,13
Stephen Anderson,LAC,1,2,1,6,0,0.6,0.6,13
Ryan Izzo,NE,1,1,1,6,0,0.6,0.6,13
Hunter Henry,LAC,1,2,1,5,0,0.5,0.5,13
David Njoku,CLE,1,1,1,5,0,0.5,0.5,13
Kaden Smith,NYG,1,1,1,3,0,0.3,0.3,13
Blake Bell,DAL,1,1,1,2,0,0.2,0.2,13
Darren Fells,HOU,1,1,0,0,0,0.0,0.0,13
Troy Fumagalli,DEN,1,1,0,0,0,0.0,0.0,13
Jaeden Graham,ATL,1,1,0,0,0,0.0,0.0,13
Jimmy Graham,CHI,1,1,0,0,0,0.0,0.0,13
Kyle Rudolph,MIN,1,2,0,0,0,0.0,0.0,13
Eric Saubert,JAC,1,1,0,0,0,0.0,0.0,13
Mason Schreck,CIN,1,1,0,0,0,0.0,0.0,13
Adam Shaheen,MIA,1,1,0,0,0,0.0,0.0,13
Lee Smith,BUF,1,1,0,0,0,0.0,0.0,13
Geoff Swaim,TEN,1,1,0,0,0,0.0,0.0,13
Kahale Warring,HOU,1,1,0,0,0,0.0,0.0,13
Jason Witten,LV,1,1,0,0,0,0.0,0.0,13
Travis Kelce,KC,1,10,8,136,1,19.6,19.6,14
Mike Gesicki,MIA,1,6,5,65,2,18.5,18.5,14
Irv Smith,MIN,1,4,4,63,1,12.3,12.3,14
Foster Moreau,LV,1,2,1,47,1,10.7,10.7,14
T.J. Hockenson,DET,1,11,6,43,1,10.3,10.3,14
Jared Cook,NO,1,4,3,37,1,9.7,9.7,14
Robert Tonyan,GB,1,5,5,36,1,9.6,9.6,14
Geoff Swaim,TEN,1,3,3,34,1,9.4,9.4,14
Dan Arnold,ARI,1,4,2,27,1,8.7,8.7,14
Will Dissly,SEA,1,2,2,23,1,8.3,8.3,14
Jimmy Graham,CHI,1,4,4,23,1,8.3,8.3,14
Nick Vannett,DEN,1,4,4,20,1,8.0,8.0,14
Mark Andrews,BAL,1,6,5,78,0,7.8,7.8,14
Darren Waller,LV,1,10,7,75,0,7.5,7.5,14
Rob Gronkowski,TB,1,2,1,2,1,6.2,6.2,14
Troy Fumagalli,DEN,1,5,4,53,0,5.3,5.3,14
David Njoku,CLE,1,4,3,45,0,4.5,4.5,14
Jack Doyle,IND,1,3,3,44,0,4.4,4.4,14
Dallas Goedert,PHI,1,6,4,43,0,4.3,4.3,14
Logan Thomas,WAS,1,7,6,43,0,4.3,4.3,14
Hunter Henry,LAC,1,8,6,41,0,4.1,4.1,14
Cole Kmet,CHI,1,7,4,41,0,4.1,4.1,14
Tyler Conklin,MIN,1,5,5,40,0,4.0,4.0,14
Tyler Higbee,LAR,1,2,2,34,0,3.4,3.4,14
Dalton Schultz,DAL,1,3,3,34,0,3.4,3.4,14
Eric Ebron,PIT,1,5,2,30,0,3.0,3.0,14
Adam Shaheen,MIA,1,3,2,26,0,2.6,2.6,14
Jonnu Smith,TEN,1,2,2,20,0,2.3,2.3,14
Tyler Eifert,JAC,1,2,2,22,0,2.2,2.2,14
Drew Sample,CIN,1,4,3,21,0,2.1,2.1,14
Jordan Akins,HOU,1,6,3,20,0,2.0,2.0,14
Ross Dwelley,SF,1,2,2,20,0,2.0,2.0,14
Jacob Hollister,SEA,1,1,1,20,0,2.0,2.0,14
Ian Thomas,CAR,1,4,3,20,0,2.0,2.0,14
Durham Smythe,MIA,1,3,2,19,0,1.9,1.9,14
Harrison Bryant,CLE,1,6,3,18,0,1.8,1.8,14
Evan Engram,NYG,1,4,2,18,0,1.8,1.8,14
Maxx Williams,ARI,1,2,2,17,0,1.7,1.7,14
Colby Parkinson,SEA,1,2,2,16,0,1.6,1.6,14
Darren Fells,HOU,1,1,1,15,0,1.5,1.5,14
Dawson Knox,BUF,1,7,4,34,0,1.4,1.4,14
James O'Shaughnessy,JAC,1,2,2,14,0,1.4,1.4,14
Jordan Reed,SF,1,5,2,13,0,1.3,1.3,14
Adam Trautman,NO,1,1,1,12,0,1.2,1.2,14
Blake Bell,DAL,1,1,1,11,0,1.1,1.1,14
Juwan Johnson,NO,1,1,1,11,0,1.1,1.1,14
Mo Alie-Cox,IND,1,1,1,9,0,0.9,0.9,14
Cameron Brate,TB,1,1,1,9,0,0.9,0.9,14
Gerald Everett,LAR,1,3,1,9,0,0.9,0.9,14
Chris Herndon,NYJ,1,1,1,9,0,0.9,0.9,14
Zach Ertz,PHI,1,3,2,8,0,0.8,0.8,14
Jaeden Graham,ATL,1,1,1,7,0,0.7,0.7,14
Hayden Hurst,ATL,1,3,1,7,0,0.7,0.7,14
Marcedes Lewis,GB,1,1,1,6,0,0.6,0.6,14
Kaden Smith,NYG,1,1,1,6,0,0.6,0.6,14
Anthony Firkser,TEN,1,1,1,5,0,0.5,0.5,14
Eric Saubert,JAC,1,1,1,4,0,0.4,0.4,14
Josh Hill,NO,1,1,1,1,0,0.1,0.1,14
Devin Asiasi,NE,1,1,0,0,0,0.0,0.0,14
Antony Auclair,TB,1,1,0,0,0,0.0,0.0,14
Vance McDonald,PIT,1,2,0,0,0,0.0,0.0,14
Jeremy Sprinkle,WAS,1,1,0,0,0,0.0,0.0,14
Charlie Woerner,SF,1,1,0,0,0,0.0,0.0,14
Darren Waller,LV,1,12,9,150,1,21.0,21.0,15
Noah Fant,DEN,1,11,8,68,1,12.8,12.8,15
Travis Kelce,KC,1,12,8,68,1,12.8,12.8,15
Tyler Higbee,LAR,1,5,4,67,1,12.7,12.7,15
Mark Andrews,BAL,1,5,5,66,1,12.6,12.6,15
Hunter Henry,LAC,1,7,5,65,1,12.5,12.5,15
Tyler Conklin,MIN,1,4,3,57,1,11.7,11.7,15
Austin Hooper,CLE,1,6,5,41,1,10.1,10.1,15
Logan Thomas,WAS,1,15,13,101,0,10.1,10.1,15
Dawson Knox,BUF,1,4,2,36,1,9.6,9.6,15
Hayden Hurst,ATL,1,5,4,21,1,8.1,8.1,15
Jordan Reed,SF,1,5,2,18,1,7.8,7.8,15
Robert Tonyan,GB,1,3,3,18,1,7.8,7.8,15
Jacob Hollister,SEA,1,2,2,17,1,7.7,7.7,15
Dalton Schultz,DAL,1,2,2,14,1,7.4,7.4,15
Zach Ertz,PHI,1,7,2,69,0,6.9,6.9,15
Dan Arnold,ARI,1,5,3,54,0,5.4,5.4,15
Cameron Brate,TB,1,4,4,54,0,5.4,5.4,15
Jonnu Smith,TEN,1,5,5,52,0,5.2,5.2,15
Tyler Eifert,JAC,1,4,3,51,0,5.1,5.1,15
Jordan Akins,HOU,1,6,5,50,0,5.0,5.0,15
Chris Herndon,NYJ,1,4,3,48,0,4.8,4.8,15
Evan Engram,NYG,1,7,4,46,0,4.6,4.6,15
Hunter Bryant,DET,1,2,1,44,0,4.4,4.4,15
Maxx Williams,ARI,1,1,1,42,0,4.2,4.2,15
Durham Smythe,MIA,1,5,5,40,0,4.0,4.0,15
Dallas Goedert,PHI,1,8,4,39,0,3.9,3.9,15
Irv Smith,MIN,1,4,3,37,0,3.7,3.7,15
Kahale Warring,HOU,1,2,2,32,0,3.2,3.2,15
Jared Cook,NO,1,5,2,29,0,2.9,2.9,15
Rob Gronkowski,TB,1,7,3,29,0,2.9,2.9,15
Ian Thomas,CAR,1,4,3,29,0,2.9,2.9,15
Ross Dwelley,SF,1,2,2,28,0,2.8,2.8,15
Gerald Everett,LAR,1,4,2,28,0,2.8,2.8,15
Jimmy Graham,CHI,1,3,2,25,0,2.5,2.5,15
Foster Moreau,LV,1,1,1,22,0,2.2,2.2,15
David Njoku,CLE,1,1,1,22,0,2.2,2.2,15
Luke Stocker,ATL,1,3,2,21,0,2.1,2.1,15
Anthony Firkser,TEN,1,1,1,20,0,2.0,2.0,15
Harrison Bryant,CLE,1,2,2,19,0,1.9,1.9,15
Adam Shaheen,MIA,1,2,1,15,0,1.5,1.5,15
Mo Alie-Cox,IND,1,2,2,14,0,1.4,1.4,15
Jack Doyle,IND,1,2,2,14,0,1.4,1.4,15
Levine Toilolo,NYG,1,1,1,14,0,1.4,1.4,15
Blake Bell,DAL,1,1,1,10,0,1.2,1.2,15
Cole Kmet,CHI,1,2,2,12,0,1.2,1.2,15
Pharaoh Brown,HOU,1,1,1,11,0,1.1,1.1,15
Jesse James,DET,1,1,1,11,0,1.1,1.1,15
MyCole Pruitt,TEN,1,2,1,10,0,1.0,1.0,15
Trey Burton,IND,1,2,1,8,0,0.8,0.8,15
James O'Shaughnessy,JAC,1,1,1,6,0,0.6,0.6,15
Deon Yelder,KC,1,1,1,6,0,0.6,0.6,15
Drew Sample,CIN,1,1,1,4,0,0.4,0.4,15
Darrell Daniels,ARI,1,1,1,2,0,0.2,0.2,15
Dalton Keene,NE,1,2,1,2,0,0.2,0.2,15
Devin Asiasi,NE,1,1,0,0,0,0.0,0.0,15
Eric Ebron,PIT,1,1,0,0,0,0.0,0.0,15
J.P. Holtz,CHI,1,1,0,0,0,0.0,0.0,15
Juwan Johnson,NO,1,4,0,0,0,0.0,0.0,15
Donald Parham,LAC,1,1,0,0,0,0.0,0.0,15
Kaden Smith,NYG,1,1,1,0,0,0.0,0.0,15
Lee Smith,BUF,1,1,0,0,0,0.0,0.0,15
Eric Tomlinson,BAL,1,1,0,0,0,0.0,0.0,15
Nick Vannett,DEN,1,1,0,0,0,0.0,0.0,15
T.J. Hockenson,DET,1,4,2,18,0,-0.2,-0.2,15
Jimmy Graham,CHI,1,5,4,69,2,18.9,18.9,16
Rob Gronkowski,TB,1,2,2,58,2,17.8,17.8,16
Irv Smith,MIN,1,9,6,53,2,17.3,17.3,16
Travis Kelce,KC,1,13,7,98,1,15.8,15.8,16
Darren Waller,LV,1,6,5,112,0,11.2,11.2,16
Eric Ebron,PIT,1,7,5,47,1,10.7,10.7,16
Hayden Hurst,ATL,1,5,5,47,1,10.7,10.7,16
Chris Herndon,NYJ,1,4,4,34,1,9.4,9.4,16
George Kittle,SF,1,5,4,92,0,9.2,9.2,16
Lee Smith,BUF,1,2,2,31,1,9.1,9.1,16
Jonnu Smith,TEN,1,7,3,30,1,9.0,9.0,16
Jared Cook,NO,1,4,3,82,0,8.2,8.2,16
Darren Fells,HOU,1,2,1,22,1,8.2,8.2,16
Jacob Hollister,SEA,1,6,2,17,1,7.7,7.7,16
Mark Andrews,BAL,1,11,6,76,0,7.6,7.6,16
Austin Hooper,CLE,1,15,7,71,0,7.1,7.1,16
Evan Engram,NYG,1,10,7,65,0,7.0,7.0,16
Drew Sample,CIN,1,1,1,8,1,6.8,6.8,16
Noah Fant,DEN,1,9,6,65,0,6.5,6.5,16
Logan Thomas,WAS,1,12,7,63,0,6.3,6.3,16
Mike Gesicki,MIA,1,7,4,54,0,5.4,5.4,16
Dawson Knox,BUF,1,4,3,51,0,5.1,5.1,16
Jack Doyle,IND,1,6,4,50,0,5.0,5.0,16
Stephen Anderson,LAC,1,6,4,48,0,4.8,4.8,16
Donald Parham,LAC,1,3,2,47,0,4.7,4.7,16
Adam Trautman,NO,1,2,2,45,0,4.5,4.5,16
Jordan Akins,HOU,1,4,4,39,0,3.9,3.9,16
Dallas Goedert,PHI,1,3,3,38,0,3.8,3.8,16
Harrison Bryant,CLE,1,7,3,37,0,3.7,3.7,16
Tyler Higbee,LAR,1,6,3,34,0,3.4,3.4,16
Zach Ertz,PHI,1,7,3,33,0,3.3,3.3,16
Tyler Conklin,MIN,1,6,4,31,0,3.1,3.1,16
Pharaoh Brown,HOU,1,1,1,29,0,2.9,2.9,16
Cameron Brate,TB,1,2,2,27,0,2.7,2.7,16
David Njoku,CLE,1,4,4,26,0,2.6,2.6,16
T.J. Hockenson,DET,1,6,4,23,0,2.3,2.3,16
Dalton Schultz,DAL,1,4,3,21,0,2.1,2.1,16
Mo Alie-Cox,IND,1,1,1,20,0,2.0,2.0,16
Tanner Hudson,TB,1,1,1,20,0,2.0,2.0,16
Juwan Johnson,NO,1,1,1,19,0,1.9,1.9,16
Trey Burton,IND,1,4,3,18,0,1.8,1.8,16
James O'Shaughnessy,JAC,1,3,2,18,0,1.8,1.8,16
Will Dissly,SEA,1,3,3,17,0,1.7,1.7,16
Tyler Eifert,JAC,1,5,2,17,0,1.7,1.7,16
Robert Tonyan,GB,1,2,1,17,0,1.7,1.7,16
Cole Kmet,CHI,1,6,2,18,0,1.5,1.5,16
Greg Olsen,SEA,1,2,1,15,0,1.5,1.5,16
Daniel Brown,NYJ,1,1,1,13,0,1.3,1.3,16
Dominique Dafney,GB,1,1,1,13,0,1.3,1.3,16
Gerald Everett,LAR,1,3,2,13,0,1.3,1.3,16
Jason Witten,LV,1,5,2,12,0,1.2,1.2,16
Deon Yelder,KC,1,1,1,12,0,1.2,1.2,16
Anthony Firkser,TEN,1,2,1,11,0,1.1,1.1,16
Luke Stocker,ATL,1,1,1,9,0,0.9,0.9,16
Blake Bell,DAL,1,1,1,7,0,0.7,0.7,16
Darrell Daniels,ARI,1,2,1,7,0,0.7,0.7,16
Durham Smythe,MIA,1,2,2,6,0,0.6,0.6,16
Dan Arnold,ARI,1,5,3,25,0,0.5,0.5,16
Vance McDonald,PIT,1,1,1,5,0,0.5,0.5,16
Adam Shaheen,MIA,1,1,1,3,0,0.3,0.3,16
Kahale Warring,HOU,1,3,1,3,0,0.3,0.3,16
Devin Asiasi,NE,1,2,0,0,0,0.0,0.0,16
Seth Devalve,ARI,1,1,0,0,0,0.0,0.0,16
Troy Fumagalli,DEN,1,1,0,0,0,0.0,0.0,16
Jesse James,DET,1,1,0,0,0,0.0,0.0,16
Jordan Reed,SF,1,2,0,0,0,0.0,0.0,16
Ian Thomas,CAR,1,0,0,0,0,0.0,0.0,16
Darren Waller,LV,1,10,9,117,1,15.7,15.7,17
Chris Herndon,NYJ,1,9,7,63,1,12.3,12.3,17
Pharaoh Brown,HOU,1,5,5,48,1,10.8,10.8,17
Jared Cook,NO,1,5,4,43,1,10.3,10.3,17
Devin Asiasi,NE,1,3,2,39,1,9.9,9.9,17
Austin Hooper,CLE,1,5,4,37,1,9.7,9.7,17
Donald Parham,LAC,1,4,3,37,1,9.7,9.7,17
Logan Thomas,WAS,1,6,3,37,1,9.7,9.7,17
Hayden Hurst,ATL,1,6,4,28,1,8.8,8.8,17
Robert Tonyan,GB,1,2,2,18,1,7.8,7.8,17
Troy Fumagalli,DEN,1,3,2,15,1,7.5,7.5,17
Dominique Dafney,GB,1,1,1,13,1,7.3,7.3,17
Dalton Schultz,DAL,1,10,7,70,0,7.0,7.0,17
George Kittle,SF,1,9,7,68,0,6.8,6.8,17
Stephen Anderson,LAC,1,3,3,52,0,5.2,5.2,17
Noah Fant,DEN,1,6,4,48,0,4.8,4.8,17
Mike Gesicki,MIA,1,10,5,47,0,4.7,4.7,17
Dan Arnold,ARI,1,3,3,46,0,4.6,4.6,17
Tyler Higbee,LAR,1,4,3,41,0,4.1,4.1,17
Tyler Conklin,MIN,1,6,3,40,0,4.0,4.0,17
Vance McDonald,PIT,1,6,5,33,0,3.3,3.3,17
Irv Smith,MIN,1,3,2,30,0,3.0,3.0,17
Rob Gronkowski,TB,1,4,2,29,0,2.9,2.9,17
Dawson Knox,BUF,1,8,2,29,0,2.9,2.9,17
Mark Andrews,BAL,1,7,4,27,0,2.7,2.7,17
Gerald Everett,LAR,1,7,2,25,0,2.5,2.5,17
T.J. Hockenson,DET,1,3,3,25,0,2.5,2.5,17
Durham Smythe,MIA,1,3,3,23,0,2.3,2.3,17
Adam Shaheen,MIA,1,3,1,22,0,2.2,2.2,17
Cethan Carter,CIN,1,2,1,21,0,2.1,2.1,17
Ross Dwelley,SF,1,2,2,21,0,2.1,2.1,17
Cole Kmet,CHI,1,8,7,41,0,2.1,2.1,17
Will Dissly,SEA,1,2,1,20,0,2.0,2.0,17
Daniel Brown,NYJ,1,1,1,18,0,1.8,1.8,17
Anthony Firkser,TEN,1,2,2,18,0,1.8,1.8,17
Jack Doyle,IND,1,3,3,17,0,1.7,1.7,17
Evan Engram,NYG,1,4,2,17,0,1.7,1.7,17
Zach Ertz,PHI,1,6,3,16,0,1.6,1.6,17
Kaden Smith,NYG,1,1,1,16,0,1.6,1.6,17
Drew Sample,CIN,1,3,2,15,0,1.5,1.5,17
David Njoku,CLE,1,5,2,13,0,1.3,1.3,17
Luke Stocker,ATL,1,1,1,13,0,1.3,1.3,17
Cameron Brate,TB,1,2,1,11,0,1.1,1.1,17
Tyler Eifert,JAC,1,2,1,10,0,1.0,1.0,17
James O'Shaughnessy,JAC,1,1,1,10,0,1.0,1.0,17
Levine Toilolo,NYG,1,1,1,10,0,1.0,1.0,17
Jordan Akins,HOU,1,2,1,9,0,0.9,0.9,17
Marcedes Lewis,GB,1,1,1,9,0,0.9,0.9,17
Eric Saubert,JAC,1,1,1,9,0,0.9,0.9,17
Jonnu Smith,TEN,1,2,1,8,0,0.8,0.8,17
Foster Moreau,LV,1,1,1,7,0,0.7,0.7,17
Jacob Hollister,SEA,1,3,1,6,0,0.6,0.6,17
Dalton Keene,NE,1,2,1,6,0,0.6,0.6,17
Deon Yelder,KC,1,6,2,6,0,0.6,0.6,17
Jimmy Graham,CHI,1,2,2,5,0,0.5,0.5,17
Adam Trautman,NO,1,1,1,5,0,0.5,0.5,17
Juwan Johnson,NO,1,1,1,4,0,0.4,0.4,17
Charlie Woerner,SF,1,1,1,3,0,0.3,0.3,17
Jesse James,DET,1,1,1,2,0,0.2,0.2,17
Hunter Bryant,DET,1,1,0,0,0,0.0,0.0,17
Kevin Rader,PIT,1,1,0,0,0,0.0,0.0,17
Ian Thomas,CAR,1,3,1,-1,0,-0.1,-0.1,17
